epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2843.95,1.06755,0.58713,0.94584,0.9816,0.99725,0.99369,0.74301,0.99389,0.60194,0.94245,0.0009968,0.0009968,0.0009968
154,2862.52,1.10746,0.59642,0.9422,0.99062,0.9872,0.99379,0.75836,0.92731,0.58523,0.92231,0.0009902,0.0009902,0.0009902
155,2881.01,0.92945,0.57615,0.90915,0.99062,0.9872,0.99379,0.75836,0.92731,0.58523,0.92231,0.0009836,0.0009836,0.0009836
156,2898.87,0.96142,0.57326,0.9235,0.99064,0.98912,0.99397,0.7725,0.88804,0.58632,0.90959,0.000977,0.000977,0.000977
157,2917.15,0.98177,0.61903,0.9372,0.99064,0.98912,0.99397,0.7725,0.88804,0.58632,0.90959,0.0009704,0.0009704,0.0009704
158,2934.93,1.02931,0.61963,0.95468,0.99072,0.99804,0.99407,0.75586,0.89008,0.59131,0.90717,0.0009638,0.0009638,0.0009638
159,2953.57,0.97345,0.59417,0.92136,0.99072,0.99804,0.99407,0.75586,0.89008,0.59131,0.90717,0.0009572,0.0009572,0.0009572
160,2972.06,0.93832,0.55491,0.90569,0.99073,0.9989,0.99426,0.74957,0.93561,0.58201,0.92125,0.0009506,0.0009506,0.0009506
161,2990.33,0.97827,0.5756,0.89305,0.99073,0.9989,0.99426,0.74957,0.93561,0.58201,0.92125,0.000944,0.000944,0.000944
162,3008.07,0.99508,0.62548,0.95161,0.97996,1,0.99406,0.76862,0.87053,0.56385,0.90814,0.0009374,0.0009374,0.0009374
163,3026,1.06389,0.61507,0.92712,0.97996,1,0.99406,0.76862,0.87053,0.56385,0.90814,0.0009308,0.0009308,0.0009308
164,3043.72,1.01891,0.57358,0.91237,0.97759,1,0.9938,0.76591,0.87489,0.57567,0.90947,0.0009242,0.0009242,0.0009242
165,3060.98,0.95966,0.57504,0.8892,0.97759,1,0.9938,0.76591,0.87489,0.57567,0.90947,0.0009176,0.0009176,0.0009176
166,3078.57,0.88774,0.57558,0.89789,0.98164,0.99921,0.99408,0.75114,0.90062,0.57206,0.91347,0.000911,0.000911,0.000911
167,3095.84,1.00734,0.59089,0.91477,0.98164,0.99921,0.99408,0.75114,0.90062,0.57206,0.91347,0.0009044,0.0009044,0.0009044
168,3113.63,0.88756,0.54253,0.8883,0.97176,0.99065,0.99398,0.74898,0.90607,0.56456,0.91351,0.0008978,0.0008978,0.0008978
169,3131.09,0.93556,0.55303,0.91663,0.97176,0.99065,0.99398,0.74898,0.90607,0.56456,0.91351,0.0008912,0.0008912,0.0008912
170,3148.52,0.94106,0.58528,0.89132,0.99188,0.99065,0.995,0.76742,0.85206,0.54284,0.90248,0.0008846,0.0008846,0.0008846
171,3165.96,0.95735,0.56772,0.90966,0.99188,0.99065,0.995,0.76742,0.85206,0.54284,0.90248,0.000878,0.000878,0.000878
172,3183.11,0.98924,0.59856,0.91901,1,0.99874,0.995,0.7917,0.80374,0.51237,0.88951,0.0008714,0.0008714,0.0008714
173,3200.67,0.86335,0.52097,0.91944,1,0.99874,0.995,0.7917,0.80374,0.51237,0.88951,0.0008648,0.0008648,0.0008648
174,3218.13,0.9953,0.58058,0.9137,0.99595,1,0.995,0.79311,0.81379,0.51398,0.89232,0.0008582,0.0008582,0.0008582
175,3235.68,0.89962,0.53112,0.88546,0.99595,1,0.995,0.79311,0.81379,0.51398,0.89232,0.0008516,0.0008516,0.0008516
176,3253.21,0.88311,0.5526,0.87956,0.99766,1,0.995,0.79002,0.83669,0.52921,0.8998,0.000845,0.000845,0.000845
177,3270.6,1.02806,0.57715,0.90229,0.99766,1,0.995,0.79002,0.83669,0.52921,0.8998,0.0008384,0.0008384,0.0008384
178,3287.9,1.05786,0.5967,0.93348,1,0.99833,0.995,0.7972,0.81409,0.53096,0.89221,0.0008318,0.0008318,0.0008318
179,3305.5,0.87559,0.54616,0.86911,1,0.99833,0.995,0.7972,0.81409,0.53096,0.89221,0.0008252,0.0008252,0.0008252
180,3322.92,0.92114,0.54641,0.89343,1,0.99772,0.995,0.80212,0.79072,0.51118,0.8841,0.0008186,0.0008186,0.0008186
181,3340.82,0.91425,0.51343,0.89899,1,0.99772,0.995,0.80212,0.79072,0.51118,0.8841,0.000812,0.000812,0.000812
